tag,score,count,reasons
 long detached wide black sleeves,3,8,leading_space;words_4plus
 subete wo ushinau hi,3,6,leading_space;words_4plus
 asymmetrical uneven mismatched legwear,3,3,leading_space;words_4plus
 black sleeveless china dress,3,3,leading_space;words_4plus
 isolated on white background,3,3,leading_space;words_4plus
 asymmetrical mismatched uneven legwear,3,2,leading_space;words_4plus
 detached wide long black sleeves,3,2,leading_space;words_4plus
 and shedding tears,3,1,leading_space;contains_and
 black frilled layered skirt,3,1,leading_space;words_4plus
 black hair in bun,3,1,leading_space;words_4plus
 bloody dead body's hands,3,1,leading_space;words_4plus
 branch with leaves,3,1,leading_space;contains_with
 cherry blossom petals falling,3,1,leading_space;words_4plus
 clad in traditional shinto attire,3,1,leading_space;words_4plus
 dressed in traditional shinto attire,3,1,leading_space;words_4plus
 hair red black ribbon,3,1,leading_space;words_4plus
 hair tassel hair ornament,3,1,leading_space;words_4plus
 illuminated by mystical lights,3,1,leading_space;words_4plus
 japanese shrine maiden outfit,3,1,leading_space;words_4plus
 looking forward to it,3,1,leading_space;words_4plus
 or shinto shrine maidens,3,1,leading_space;words_4plus
 shinto shrine maiden attire,3,1,leading_space;words_4plus
 simple white transparent background,3,1,leading_space;words_4plus
 single leg print pantyhose,3,1,leading_space;words_4plus
 single leg red pantyhose,3,1,leading_space;words_4plus
 smiles full of anticipation,3,1,leading_space;words_4plus
 sunlight filtering through trees,3,1,leading_space;words_4plus
 surrounded by ethereal blue flames,3,1,leading_space;words_4plus
 two japanese shrine maidens,3,1,leading_space;words_4plus
akuma wo mae ni shite harem wo tsukuru to sakenda mono,3,1,words_8plus;len_40plus
the bc store sign,3,1,contains_the;words_4plus
